"","NAME","Category","Proportion"
"191","Gratiot","Taxicab, motorcycle, bicycle, or other means",1.6656856974691
"192","Gratiot","Worked from home",7.66921718658034
"193","Hillsdale","Car, truck, or van - drove alone",76.7704810458836
"194","Hillsdale","Car, truck, or van - carpooled",9.01519357932462
"195","Hillsdale","Public transportation (excluding taxicab)",0.186764928575034
"196","Hillsdale","Walked",4.41169047498864
"197","Hillsdale","Taxicab, motorcycle, bicycle, or other means",1.48907172782797
"198","Hillsdale","Worked from home",8.12679824340013
"199","Houghton","Car, truck, or van - drove alone",63.7172368499612
"200","Houghton","Car, truck, or van - carpooled",10.0722431189922
"201","Houghton","Public transportation (excluding taxicab)",2.42402531494418
"202","Houghton","Walked",10.4483849782077
"203","Houghton","Taxicab, motorcycle, bicycle, or other means",2.29864469520568
"204","Houghton","Worked from home",11.0394650426891
"205","Huron","Car, truck, or van - drove alone",78.91704218069
"206","Huron","Car, truck, or van - carpooled",8.3031690921179
"207","Huron","Public transportation (excluding taxicab)",0.605747211346679
"208","Huron","Walked",3.86348526261358
"209","Huron","Taxicab, motorcycle, bicycle, or other means",0.70178030582847
"210","Huron","Worked from home",7.60877594740341
"211","Ingham","Car, truck, or van - drove alone",66.0992252982674
"212","Ingham","Car, truck, or van - carpooled",7.99371005669605
"213","Ingham","Public transportation (excluding taxicab)",2.40489346047867
"214","Ingham","Walked",4.06898740568692
"215","Ingham","Taxicab, motorcycle, bicycle, or other means",2.09183894282788
"216","Ingham","Worked from home",17.3413448360431
"217","Ionia","Car, truck, or van - drove alone",78.7291823446651
"218","Ionia","Car, truck, or van - carpooled",8.4742989889736
"219","Ionia","Public transportation (excluding taxicab)",1.24660537250924
"220","Ionia","Walked",1.84536858292707
"221","Ionia","Taxicab, motorcycle, bicycle, or other means",0.595491280306253
"222","Ionia","Worked from home",9.10905343061872
"223","Iosco","Car, truck, or van - drove alone",79.6452702702703
"224","Iosco","Car, truck, or van - carpooled",8.08699324324324
"225","Iosco","Public transportation (excluding taxicab)",0.137246621621622
"226","Iosco","Walked",3.65287162162162
"227","Iosco","Taxicab, motorcycle, bicycle, or other means",1.25633445945946
"228","Iosco","Worked from home",7.22128378378378
"229","Iron","Car, truck, or van - drove alone",76.5191469846365
"230","Iron","Car, truck, or van - carpooled",6.55812886952534
"231","Iron","Public transportation (excluding taxicab)",0
"232","Iron","Walked",3.02682870901169
"233","Iron","Taxicab, motorcycle, bicycle, or other means",2.3159825728044
"234","Iron","Worked from home",11.579912864022
"235","Isabella","Car, truck, or van - drove alone",73.8796707603867
"236","Isabella","Car, truck, or van - carpooled",9.69101123595506
"237","Isabella","Public transportation (excluding taxicab)",0.751241181081787
"238","Isabella","Walked",6.67298144760909
"239","Isabella","Taxicab, motorcycle, bicycle, or other means",1.23138228377319
"240","Isabella","Worked from home",7.77371309119415
"241","Jackson","Car, truck, or van - drove alone",78.9814371344393
"242","Jackson","Car, truck, or van - carpooled",7.79814516480167
"243","Jackson","Public transportation (excluding taxicab)",0.240925385698321
"244","Jackson","Walked",2.11753095020392
"245","Jackson","Taxicab, motorcycle, bicycle, or other means",1.03626943005181
"246","Jackson","Worked from home",9.82569193480501
"247","Kalkaska","Car, truck, or van - drove alone",80.186509964231
"248","Kalkaska","Car, truck, or van - carpooled",10.4368932038835
"249","Kalkaska","Public transportation (excluding taxicab)",0.0255493101686254
"250","Kalkaska","Walked",1.06029637199796
"251","Kalkaska","Taxicab, motorcycle, bicycle, or other means",0.855901890648953
"252","Kalkaska","Worked from home",7.43484925907
"253","Kent","Car, truck, or van - drove alone",73.1872852485761
"254","Kent","Car, truck, or van - carpooled",7.77374479534978
"255","Kent","Public transportation (excluding taxicab)",1.48884539658041
"256","Kent","Walked",1.98356225480559
"257","Kent","Taxicab, motorcycle, bicycle, or other means",1.2722967362185
"258","Kent","Worked from home",14.2942655684696
"259","Keweenaw","Car, truck, or van - drove alone",66.4169787765293
"260","Keweenaw","Car, truck, or van - carpooled",5.61797752808989
"261","Keweenaw","Public transportation (excluding taxicab)",0
"262","Keweenaw","Walked",8.3645443196005
"263","Keweenaw","Taxicab, motorcycle, bicycle, or other means",1.99750312109863
"264","Keweenaw","Worked from home",17.6029962546816
"265","Lake","Car, truck, or van - drove alone",79.4958361467477
"266","Lake","Car, truck, or van - carpooled",7.13481881611524
"267","Lake","Public transportation (excluding taxicab)",1.32793157776277
"268","Lake","Walked",0.8327706504614
"269","Lake","Taxicab, motorcycle, bicycle, or other means",1.35043889264011
"270","Lake","Worked from home",9.85820391627279
"271","Lapeer","Car, truck, or van - drove alone",79.4520209506868
"272","Lapeer","Car, truck, or van - carpooled",9.40557367328787
"273","Lapeer","Public transportation (excluding taxicab)",0.768356556972033
"274","Lapeer","Walked",0.990710544520209
"275","Lapeer","Taxicab, motorcycle, bicycle, or other means",0.654708963336298
"276","Lapeer","Worked from home",8.72862931119676
"277","Leelanau","Car, truck, or van - drove alone",75.3914988814318
"278","Leelanau","Car, truck, or van - carpooled",5.10280174709705
"279","Leelanau","Public transportation (excluding taxicab)",0.287631831255992
"280","Leelanau","Walked",1.34228187919463
"281","Leelanau","Taxicab, motorcycle, bicycle, or other means",1.92819857249387
"282","Leelanau","Worked from home",15.9475870885267
"283","Lenawee","Car, truck, or van - drove alone",79.0349608612814
"284","Lenawee","Car, truck, or van - carpooled",7.84610793563345
"285","Lenawee","Public transportation (excluding taxicab)",0.286940752473429
"286","Lenawee","Walked",2.5755801942015
"287","Lenawee","Taxicab, motorcycle, bicycle, or other means",1.16153616601244
"288","Lenawee","Worked from home",9.09487409039781
"289","Livingston","Car, truck, or van - drove alone",76.1897965009584
"290","Livingston","Car, truck, or van - carpooled",5.2750703478651
"291","Livingston","Public transportation (excluding taxicab)",0.206965458178704
"292","Livingston","Walked",0.955303617307614
"293","Livingston","Taxicab, motorcycle, bicycle, or other means",0.667794951266262
"294","Livingston","Worked from home",16.705069124424
"295","Luce","Car, truck, or van - drove alone",74.4338198288878
"296","Luce","Car, truck, or van - carpooled",13.2360342224459
"297","Luce","Public transportation (excluding taxicab)",0.352289884247609
"298","Luce","Walked",3.22093608454957
"299","Luce","Taxicab, motorcycle, bicycle, or other means",1.157523905385
"300","Luce","Worked from home",7.59939607448415
"301","Mackinac","Car, truck, or van - drove alone",65.7876943881001
"302","Mackinac","Car, truck, or van - carpooled",6.46833446022087
"303","Mackinac","Public transportation (excluding taxicab)",7.48253324318233
"304","Mackinac","Walked",4.59770114942529
"305","Mackinac","Taxicab, motorcycle, bicycle, or other means",5.20622041920216
"306","Mackinac","Worked from home",10.4575163398693
"307","Macomb","Car, truck, or van - drove alone",76.0097682173948
"308","Macomb","Car, truck, or van - carpooled",7.761670610797
"309","Macomb","Public transportation (excluding taxicab)",0.601066568417672
"310","Macomb","Walked",1.04979995937782
"311","Macomb","Taxicab, motorcycle, bicycle, or other means",1.18347527479016
"312","Macomb","Worked from home",13.3942193692226
"313","Manistee","Car, truck, or van - drove alone",76.9910605444941
"314","Manistee","Car, truck, or van - carpooled",8.37058106460788
"315","Manistee","Public transportation (excluding taxicab)",0.0609508329947176
"316","Manistee","Walked",1.82852498984153
"317","Manistee","Taxicab, motorcycle, bicycle, or other means",1.95042665583096
"318","Manistee","Worked from home",10.7984559122308
"319","Marquette","Car, truck, or van - drove alone",77.2044104095834
"320","Marquette","Car, truck, or van - carpooled",8.77633376759556
"321","Marquette","Public transportation (excluding taxicab)",0.311397794795208
"322","Marquette","Walked",4.99825235931492
