"","year","period","county_fips","county","footnotes","employment","labor_force","unemployment","unemployment_rate","MI_unemployment_rate","MI_employment_population_ratio","MI_labor_force_participation_rate","AGE16PLUS_TOT","period_date","period_txt","LFPR","EPOP"
"121",2025,"Jul-25","069","Iosco","T Data were subject to revision on May 19, 2026.",9424,10213,789,7.7,5.7,58.3,61.9,21663.7433789241,2025-07-01,"Jul-25",47.1432836946171,43.5012538468688
"122",2025,"Jul-25","071","Iron","T Data were subject to revision on May 19, 2026.",4244,4577,333,7.3,5.7,58.3,61.9,10029.1297042219,2025-07-01,"Jul-25",45.637060592339,42.3167326095449
"123",2025,"Jul-25","073","Isabella","T Data were subject to revision on May 19, 2026.",29677,31594,1917,6.1,5.7,58.3,61.9,54984.1238734133,2025-07-01,"Jul-25",57.4602226503363,53.9737617140606
"124",2025,"Jul-25","075","Jackson","T Data were subject to revision on May 19, 2026.",69834,74245,4411,5.9,5.7,58.3,61.9,131848.175534731,2025-07-01,"Jul-25",56.3109801852683,52.9654655567112
"125",2025,"Jul-25","079","Kalkaska","T Data were subject to revision on May 19, 2026.",8994,9535,541,5.7,5.7,58.3,61.9,15657.5539704809,2025-07-01,"Jul-25",60.8971236374232,57.4419223906643
"126",2025,"Jul-25","081","Kent","T Data were subject to revision on May 19, 2026.",347131,365508,18377,5,5.7,58.3,61.9,540746.017937381,2025-07-01,"Jul-25",67.5932855491367,64.1948324139482
"127",2025,"Jul-25","083","Keweenaw","T Data were subject to revision on May 19, 2026.",917,976,59,6,5.7,58.3,61.9,1901.13609537155,2025-07-01,"Jul-25",51.3377239207725,48.2343164296602
"128",2025,"Jul-25","085","Lake","T Data were subject to revision on May 19, 2026.",4459,4830,371,7.7,5.7,58.3,61.9,11631.4547477628,2025-07-01,"Jul-25",41.5253302767565,38.335703458397
"129",2025,"Jul-25","087","Lapeer","T Data were subject to revision on May 19, 2026.",40843,43111,2268,5.3,5.7,58.3,61.9,74478.4318579532,2025-07-01,"Jul-25",57.8838717794464,54.8386948826965
"130",2025,"Jul-25","089","Leelanau","T Data were subject to revision on May 19, 2026.",11321,11857,536,4.5,5.7,58.3,61.9,20116.7071521646,2025-07-01,"Jul-25",58.9410578496401,56.2766058797146
